code,name,abbreviation,domain,n_items,license,url,citation,repository,languages,n_dimensions,has_scoring,checked_content,checked_output,checked_scoring,notes
MHT,Mental Health Test,MHT,Well-being,18,CC BY 4.0,https://doi.org/10.3389/fpsyg.2022.775622,"Zábó, V., Oláh, A., & Vargha, A. (2022). A new complex mental health test in a positive psychological framework. Frontiers in Psychology, 13. https://doi.org/10.3389/fpsyg.2022.775622. [APA PsycTests: https://doi.org/10.1037/t95738-000]",openscales,en,5,yes,1,1,1,"Verified. 18 items, 5 subscales (Well-being, Savoring, Creative Efficiency, Self-regulation, Resilience). 6-point Likert. SR items 2,8,16 and R item 13 reverse coded. Item 18 has custom labels. Item 6 excluded from scoring per authors."
PX020602,Hand Dominance - 12 Years and Older,PX020602,Health,16,PhenX Toolkit freely available protocol,https://www.phenxtoolkit.org/protocols/view/20602,"Porac, C., & Coren, S. (1981). Lateral preferences and human behavior. New York: Springer-Verlag. [PhenX: https://www.phenxtoolkit.org/protocols/view/20602]",phenx,en,0,no,0,0,0,Excluded from manifest
PX050201,Calcium Intake - Children,PX050201,Health,21,PhenX Toolkit freely available protocol,https://www.phenxtoolkit.org/protocols/view/50201,"Harnack, L. J. (2006). Reliability and validity of a brief questionnaire to assess calcium intake of middle-school-aged children. Journal of the American Dietetic Association, 106 (11), 1790-1795. [PhenX: https://www.phenxtoolkit.org/protocols/view/50201]",phenx,en,0,no,0,0,0,Excluded from manifest
PX050301,Caffeine Intake,PX050301,Health,26,PhenX Toolkit freely available protocol,https://www.phenxtoolkit.org/protocols/view/50301,"Song, J. Y., Kristal, A. R., Wicklund, K. G., Cushing-Haugen, K. L., & Rossing, M. (2008). Coffee, tea, colas, and risk of epithelial ovarian cancer. Cancer Epidemiology Biomarkers and Prevention , 17(3), 712-716. Drea, J., & da Costa, T. (2005). Is coffee a functional food? British Journal of Nutrition , 93(6), 773-782. [PhenX: https://www.phenxtoolkit.org/protocols/view/50301]",phenx,en,0,no,1,0,0,Auto-converted from PhenX
PX050501,Dietary Supplements Use,PX050501,Health,39,PhenX Toolkit freely available protocol,https://www.phenxtoolkit.org/protocols/view/50501,"Murphy, S. P., Wilkens, L. R., Yonemori, K. M., & Steffen, A. (2009). Development of a supplement composition database for the SURE-QX, a publicly available questionnaire to quantify intakes from commonly consumed dietary supplements. Poster presented at the Eighth International Food Data Conference, Bangkok, Thailand. Murphy, S. P., Wilkens, L. R., Yonemori, K. M., & Steffen, A. (2009). Development of the SURE-QX, a publicly available questionnaire to quantify intakes from commonly consumed dietary supplements. Poster presented at the Seventh International Conference on Diet and Activity Methods, Washington, DC. [PhenX: https://www.phenxtoolkit.org/protocols/view/50501]",phenx,en,0,no,1,0,0,Auto-converted from PhenX
PX050801,Percent Energy from Fat,PX050801,Health,17,PhenX Toolkit freely available protocol,https://www.phenxtoolkit.org/protocols/view/50801,"Caldwell, K., Jones, R., & Hollowell, J. (2005). Urinary iodine concentration: United States NHANES 2001-2002. Thyroid , 15(7), 687-693. Hollowell, J. G., Staehling, N. W., Hannon, W. H., Flanders, D. W., Gunter, E. W., Maberly, G. F., . . . Jackson, R. J. (1998). Iodine nutrition in the United States. Trends and public health implications: Iodine excretion data from National Health and Nutrition Examination Surveys I and III (1971-1974 and 1988-1994). Journal of Clinical Endocrinology and Metabolism , 83(10), 3401-3408. National Institutes of Health (NIH), Office of Dietary Supplements (ODS). Dietary supplement fact sheet: Iodine . Bethesda, MD: Author. [PhenX: https://www.phenxtoolkit.org/protocols/view/50801]",phenx,en,0,no,1,0,0,Auto-converted from PhenX
PX070201,Cumulative Lifetime Physical Activity,PX070201,Health,34,PhenX Toolkit freely available protocol,https://www.phenxtoolkit.org/protocols/view/70201,"The California Teachers Study, Baseline. As implemented in: PhenX Toolkit. Cumulative Lifetime Physical Activity. https://www.phenxtoolkit.org/protocols/view/70201",phenx,en,0,no,1,0,0,Auto-converted from PhenX
PX070601,Cancer: Personal and Family History,PX070601,Health,126,PhenX Toolkit freely available protocol,https://www.phenxtoolkit.org/protocols/view/70601,None [PhenX: https://www.phenxtoolkit.org/protocols/view/70601],phenx,en,0,no,1,0,0,Auto-converted from PhenX
PX070901,Cancer Screenings,PX070901,Health,10,PhenX Toolkit freely available protocol,https://www.phenxtoolkit.org/protocols/view/70901,None [PhenX: https://www.phenxtoolkit.org/protocols/view/70901],phenx,en,0,no,1,0,0,Auto-converted from PhenX
PX091301,Quality of Life as Affected by Respiratory Disease,PX091301,Health,55,PhenX Toolkit freely available protocol,https://www.phenxtoolkit.org/protocols/view/91301,"Jones, P. W., Quirk, F. H., & Baveystock, C. M. (1991). The St. George’s Respiratory Questionnaire. Respiratory Medicine, 85 (Supplement 2), 25-31. Jones, P. W., Quirk, F. H., Baveystock, C. M., & Littlejohns, P. (1992). A self-complete measure for chronic airflow limitation - The St George’s Respiratory Questionnaire. American Review of Respiratory Disease, 145, 1321-1327. Meguro, M., Barley, E. A., Spencer, S., & Jones, P. W. (2006). Development and validation of an improved COPD-specific version of the St George’s Respiratory Questionnaire. Chest, 132, 456-463. [PhenX: https://www.phenxtoolkit.org/protocols/view/91301]",phenx,en,0,no,1,0,0,Auto-converted from PhenX
PX091501,Sleep Apnea - Adult,PX091501,Health,14,PhenX Toolkit freely available protocol,https://www.phenxtoolkit.org/protocols/view/91501,"Chiu, H.-Y., Chen, P. Y., Chuang, L. P., Chen, N. H., Tu, Y. K., Hsieh, Y. J., Wang, Y. C., & Guilleminault, C. (2016). Diagnostic accuracy of the Berlin questionnaire, STOP-BANG, STOP, and Epworth sleepiness scale in detecting obstructive sleep apnea: A bivariate meta-analysis. Sleep Medicine Reviews. doi: 10.1016/j.smrv.2016.10.004 [PhenX: https://www.phenxtoolkit.org/protocols/view/91501]",phenx,en,0,no,1,0,0,Auto-converted from PhenX
PX100101,Assessment of Pubertal Development - Teenage Female,PX100101,Education,2,PhenX Toolkit freely available protocol,https://www.phenxtoolkit.org/protocols/view/100101,"Avon Longitudinal Study of Parents and Children (ALSPAC), Growing and Changing (8), Female Teenage Questionnaire - 175 - 204 Months. As implemented in: PhenX Toolkit. Assessment of Pubertal Development - Teenage Female. https://www.phenxtoolkit.org/protocols/view/100101",phenx,en,0,no,0,0,0,Excluded from manifest
PX111201,Visual Function,PX111201,Health,40,PhenX Toolkit freely available protocol,https://www.phenxtoolkit.org/protocols/view/111201,"Mangione, C. M., Lee, P. P., Pitts, J., Gutierrez, P., Berry S., & Hays, R. D. (1998). Psychometric properties of the National Eye Institute Visual Function Questionnaire, the NEI-VFQ. Archives of Ophthalmology , 116: 1496-1504. [PhenX: https://www.phenxtoolkit.org/protocols/view/111201]",phenx,en,0,no,1,0,0,Auto-converted from PhenX
PX120601,Eating Disorder Screener for DSM-IV,PX120601,Mental Health,23,PhenX Toolkit freely available protocol,https://www.phenxtoolkit.org/protocols/view/120601,"American Psychiatric Association (APA). (2000). Diagnostic and statistical manual of mental disorders (4th ed., text rev.). Washington, DC: Author. [PhenX: https://www.phenxtoolkit.org/protocols/view/120601]",phenx,en,0,no,1,0,0,Auto-converted from PhenX
PX120901,Symptoms of Autism Spectrum Disorders - Adult,PX120901,Mental Health,50,PhenX Toolkit freely available protocol,https://www.phenxtoolkit.org/protocols/view/120901,"American Psychiatric Association (APA). (2000). Diagnostic and statistical manual of mental disorders (4th ed., text rev.). Washington, DC: Author. Ashwood, K. L., Gillan, N., Horder, J., Hayward, H., Woodhouse, E., McEwen, F. S., Findon, J., Eklund, H., Spain, D., Wilson, C. E., Cadman, T., Young, S., Stoencheva, V., Murphy, C. M., Robertson, D., Charman, T., Bolton, P., Glaser, K., Asherson, P., Simonoff, E., & Murphy, D.G. (2016). Predicting the diagnosis of autism in adults using the Autism-Spectrum Quotient (AQ) questionnaire. Psychological Medicine, 46 (12), 2595-2604. Centers for Disease Control and Preventions (CDC), Autism and Developmental Disabilities Monitoring Network Surveillance Year 2006 Principal Investigators. (2009). Prevalence of autism spectrum disorders-Autism and Developmental Disabilities Monitoring Network, United States, 2006. Morbidity and Mortality Weekly Report Surveillance Summaries, 58 (10), 1-20. Hadjikhani, N., Zürcher, N. R., Rogier, O., Hippolyte, L., Lemonnier, E., Ruest, T., Ward, N., Lassalle, A., Gillberg, N., Helles, A., Gillber, C., Solomon, P., Prkachin, K. M., & Gillberg, C. (2014). Emotional contagion for pain is intact in autism spectrum disorders. Translational Psychiatry, 4 (1), e343. Uzefovsky, F., Allison, C., Smith, P., & Baron-Cohen, S. (2016). Brief Report: The Go/No-Go Task Online: Inhibitory control deficits in autism in a large sample. Journal of Autism and Developmental Disorders, 46 (8), 2774-2779. [PhenX: https://www.phenxtoolkit.org/protocols/view/120901]",phenx,en,0,no,0,0,0,Excluded from manifest
PX120902,Symptoms of Autism Spectrum Disorders - Adolescent,PX120902,Mental Health,50,PhenX Toolkit freely available protocol,https://www.phenxtoolkit.org/protocols/view/120902,"American Psychiatric Association (APA). (2000). Diagnostic and statistical manual of mental disorders (4th ed., text rev.). Washington, DC: Author. Baron-Cohen, S., Jaffa, T., Davies, S., Auyeung, B., Allison, C., & Wheelwright, S. (2013). Do girls with anorexia nervosa have elevated autistic traits? Molecular Autism, 4, 24. Centers for Disease Control and Preventions (CDC), Autism and Developmental Disabilities Monitoring Network Surveillance Year 2006 Principal Investigators. (2009). Prevalence of autism spectrum disorders-Autism and Developmental Disabilities Monitoring Network, United States, 2006. Morbidity and Mortality Weekly Report Surveillance Summaries, 58 (10), 1-20. Hadjikhani, N., Zürcher, N. R., Rogier, O., Hippolyte, L., Lemonnier, E., Ruest, T., Ward, N., Lassalle, A., Gillberg, N., Helles, A., Gillber, C., Solomon, P., Prkachin, K. M., & Gillberg, C. (2014). Emotional contagion for pain is intact in autism spectrum disorders. Translational Psychiatry, 4 (1), e343. [PhenX: https://www.phenxtoolkit.org/protocols/view/120902]",phenx,en,0,no,0,0,0,Excluded from manifest
PX120903,Symptoms of Autism Spectrum Disorders - Child,PX120903,Mental Health,41,PhenX Toolkit freely available protocol,https://www.phenxtoolkit.org/protocols/view/120903,"American Psychiatric Association (APA). (2000). Diagnostic and statistical manual of mental disorders (4th ed., text rev.). Washington, DC: Author. Centers for Disease Control and Preventions (CDC), Autism and Developmental Disabilities Monitoring Network Surveillance Year 2006 Principal Investigators. (2009). Prevalence of autism spectrum disorders-Autism and Developmental Disabilities Monitoring Network, United States, 2006. Morbidity and Mortality Weekly Report Surveillance Summaries, 58 (10), 1-20. O’Nions, E., Tick, B., Rijsdijk, F., Happé, F., Plomin, R., Ronald, A., & Viding, E. (2015). Examining the genetic and environmental associations between autistic social and communication deficits and psychopathic callous-unemotional traits. PLoS ONE, 10 (9), e0134331. Scott, F., Baron-Cohen, S., Bolton, P., & Brayne, C. (2002). The CAST (Childhood Asperger Syndrome Test): Preliminary development of UK screen for mainstream primary-school children. Autism , 6 (1), 9-31. Taylor, M. J., Robinson, E. B., Happé, F., Bolton, P., Freeman, D., & Ronald, A. (2015). A longitudinal twin study of the association between childhood autistic traits and psychotic experiences in adolescence. Molecular Autism, 6 , 44. Williams, J., Scott, F., Stott, C., Allison, C., Bolton, P., Baron-Cohen, S. & Brayne, C. (2005). The CAST (Childhood Asperger Syndrome Test): Test accuracy. Autism , 9 (1), 45-68. [PhenX: https://www.phenxtoolkit.org/protocols/view/120903]",phenx,en,0,no,1,0,0,Auto-converted from PhenX
PX121002,Sleep Disorders Screener - Children,PX121002,Mental Health,26,PhenX Toolkit freely available protocol,https://www.phenxtoolkit.org/protocols/view/121002,"American Psychiatric Association (APA). (2000). Diagnostic and statistical manual of mental disorders (4th ed., text rev.). Washington, DC: Author. Roeser, K., Eichholz, R., Schwerdtle, B., Schlarb, A. A., & Kübler, A. (2012). Relationship of sleep quality and health-related quality of life in adolescents according to self- and proxy ratings: A questionnaire survey. Frontiers in Psychiatry, 3, 76. Taylor, R. W., Heath, A. L. M., Galland, B. C., Cameron, S. L., Lawrence, J. A., Gray, A. R., Tannok, G. W., Lawley, B., Healey, D., Sayers, D., Hanna, M., Meredith-Jones, K., Hatch, B., & Taylor, B. J. (2016). Three-year follow-up of a randomised controlled trial to reduce excessive weight gain in the first two years of life: Protocol for the POI follow-up study. BMC Public Health, 16 , 771. [PhenX: https://www.phenxtoolkit.org/protocols/view/121002]",phenx,en,0,no,1,0,0,Auto-converted from PhenX
PX121101,Personality Traits,PX121101,Mental Health,44,PhenX Toolkit freely available protocol,https://www.phenxtoolkit.org/protocols/view/121101,"Instrument is available from Berkeley Personality Lab through registration on the website. American Psychiatric Association (APA). (2000). Diagnostic and statistical manual of mental disorders (4th ed., text rev.). Washington, DC: Author. Benet-Martinez, V., & John, O. P. (1998). Los Cinco Grandes across cultures and ethnic groups: Multitrait multimethod analyses of the Big Five in Spanish and English. Journal of Personality and Social Psychology , 75 , 729-750. John, O. P., Donahue, E. M., & Kentle, R. L. (1991). The Big Five Inventory-Versions 4a and 54. Berkeley, CA: University of California, Berkeley, Institute of Personality and Social Research. [PhenX: https://www.phenxtoolkit.org/protocols/view/121101]",phenx,en,0,no,1,0,0,Auto-converted from PhenX
PX121301,General Distress Screener,PX121301,Mental Health,11,PhenX Toolkit freely available protocol,https://www.phenxtoolkit.org/protocols/view/121301,"Scoring: Kessler, R. C., Barker, P. R., Colpe, L. J., Epstein, J. F., Gfroerer, J. C., Hiripi, E., Howes, M. J, Normand, S-L. T., Manderscheid, R. W., Walters, E. E., & Zaslavsky, A. M. (2003). Screening for serious mental illness in the general population. Archives of General Psychiatry, 60 (2), 184-189. Definition of General Psychiatric Distress: Leising, D., Grande, T., & Faber, R. (2009). The Toronto Alexithymia Scale (TAS-20): A measure of general psychological distress. Journal of Research in Personality , 43 (4), 707-710. [PhenX: https://www.phenxtoolkit.org/protocols/view/121301]",phenx,en,0,no,1,0,0,Auto-converted from PhenX
PX121501,Attention-Deficit Hyperactivity Disorder Symptoms - Adult,PX121501,Mental Health,18,PhenX Toolkit freely available protocol,https://www.phenxtoolkit.org/protocols/view/121501,"American Psychiatric Association (APA). (2000). Diagnostic and statistical manual of mental disorders (4th ed., text rev.). Washington, DC: Author. Barkley, R. A. (1990). Attention-deficit hyperactivity disorder: A handbook for diagnosis and treatment . New York: Guilford Press. Biederman, J., Faraone, S. V., Spencer, T., Wilens, T., Norman, D., Lapey, K. A., Mick, E., Lehman, B. K., & Doyle, A. (1993). Patterns of psychiatric comorbidity, cognition, and psychosocial functioning in adults with attention deficit hyperactivity disorder. American Journal of Psychiatry , 150 , 1792-1798. Schweitzer, J., Cummins, T., & Kant, C. (2001). Attention-deficit/hyperactivity disorder. Medical Clinics of North America , 85 (3), 757-777. [PhenX: https://www.phenxtoolkit.org/protocols/view/121501]",phenx,en,0,no,1,0,0,Auto-converted from PhenX
PX121502,Attention-Deficit Hyperactivity Disorder Symptoms - Child,PX121502,Mental Health,18,PhenX Toolkit freely available protocol,https://www.phenxtoolkit.org/protocols/view/121502,"American Psychiatric Association (APA). (2000). Diagnostic and statistical manual of mental disorders (4th ed., text rev.). Washington, DC: Author. Cornish, K. M., Manly, T., Savage, R., Swanson, J., Morisano, D., Butler, N., Grant, C., Cross, G., Bentley, L., & Hollis, C. P. (2005). Association of the dopamine transporter (DAT1) 10/10-repeat genotype with ADHD symptoms and response inhibition in a general population. Molecular Psychiatry, 10(7), 686-698. Hay, D. A., Bennett, K. S., Levy, F., Sergeant, J., & Swanson, J. (2006). A twin study of attention-deficit/hyperactivity disorder dimensions rated by the Strengths and Weaknesses of ADHD Symptoms and Normal Behavior (SWAN) Scale. Biological Psychiatry 61(5), 700-705. Lubke, G. H., Muthén, B, Moilanen, I. K., McGough, J. J., Loo, S. K., Swanson, J. M., Yang, M. H., Taanila, A., Hurtig, T., Jarvelin, M. R., & Smalley, S. L. (2007). Subtypes versus severity differences in attention-deficit/hyperactivity disorder in the Northern Finnish Birth Cohort. Journal of the American Academy of Child and Adolescent Psychiatry, 46(12), 1584-1593. Polderman, T. J. C., Derks, E. S., Hudziak, J. J., Verhulst, F. C., Posthuma, D., & Boomsma, D. I. (2007). Across the continuum of attention skills: A twin study of the SWAN ADHD rating scale. Journal of Child Psychology and Psychiatry, 48(11), 1080-1087. Swanson, J. M., Wigal, T., & Lakes, K. (2009). DSM-V and the future diagnosis of attention-deficit/hyperactivity disorder. Current Psychiatric Reports, 11(5), 399-406. Young, D. A., Levy, F., Martin, N. C., & Hay, D. A. (2009). Attention deficit hyperactivity disorder: A Rasch analysis of the SWAN Rating Scale. Child Psychiatry and Human Development, 40(4), 543-559. [PhenX: https://www.phenxtoolkit.org/protocols/view/121502]",phenx,en,0,no,1,0,0,Auto-converted from PhenX
PX121601,Psychopathy - Adult,PX121601,Mental Health,58,PhenX Toolkit freely available protocol,https://www.phenxtoolkit.org/protocols/view/121601,"Benning, S. D., Patrick, C. J., Hicks, B. M., Blonigen, D. M., & Krueger, R. F. (2003). Factor structure of the Psychopathic Personality Inventory: Validity and implications for clinical assessment. Psychological Assessment , 15 , 340-350. Blagov, P. S., Patrick, C. J., Oost, K. M., & Goodman, J. A. (2016). Triarchic Psychopathy Measure: Validity in relation to normal traits, personality pathology, psychological adjustment, and autobiographical recall. Journal of Personality Disorders, 30, 71-81. Hare, R. D. (2003). The Hare Psychopathy Checklist - Revised (2nd ed.). Toronto, Ontario, Canada: Multi-Health Systems. Drislane, L. E., Patrick, C. J., & Arsal, G. (2014). Clarifying the content coverage of differing psychopathy inventories through reference to the Triarchic Psychopathy Measure. Psychological Assessment, 26 (2), 350-362. Lilienfeld, S. O., & Andrews, B. P. (1996). Development and preliminary validation of a self-report measure of psychopathic personality traits in noncriminal populations. Journal of Personality Assessment , 66 , 488-524. Patrick, C. J. (2006). Handbook of psychopathy . New York: Guilford Press. Patrick, C. J., Fowles, D. C., & Krueger, R. F. (2009). Triarchic conceptualization of psychopathy: Developmental origins of disinhibition, boldness, and meanness. Development and Psychopathology , 21 , 913-938. Sellbom, M., & Phillips, T. R. (2013). An examination of the triarchic conceptualization of psychopathy in incarcerated and non-incarcerated samples. Journal of Abnormal Psychology, 122 , 208-214. Stanley, J. H., Wygant, D. B., & Sellbom, M. (2013). Elaborating of the construct validity of the triarchic psychopathy measure in a criminal offender sample. Journal of Personality Assessment, 95 , 343-350. [PhenX: https://www.phenxtoolkit.org/protocols/view/121601]",phenx,en,0,no,1,0,0,Auto-converted from PhenX
PX121602,Lack of Prosocial Emotions - Children - Preschool Parent Report,PX121602,Mental Health,24,PhenX Toolkit freely available protocol,https://www.phenxtoolkit.org/protocols/view/121602,"American Psychiatric Association (APA). (2000). Diagnostic and statistical manual of mental disorders (4th ed., text rev.). Washington, DC: Author. Ciucci, E., Baroncelli, A., Franchi, M., Golmaryami, F. N., & Frick, P. J. (2014). The association between callous-unemotional traits and behavioral and academic adjustment in children: Further validation of the Inventory of Callous-Unemotional Traits . Journal of Psychopathology and Behavioral Assessment , 36, 189-200. Essau, C. A., Sasagawa, S., & Frick, P. J. (2006). Callous-unemotional traits in a community sample of adolescents . Assessment, 13 , 454-469. Kimonis, E. R., Frick, P. J., Skeem, J., Marsee, M. A., Cruise, K., Munoz, L. C., Aucoin, K. J., & Morris, A. S. (2008). Assessing callous-unemotional traits in adolescent offenders: Validation of the Inventory of Callous-Unemotional Traits. Journal of the International Association of Psychiatry and Law, 31 , 241-251. Roose, A., Bijttbier, P., Decoene, S., Claes, L., & Frick, P. J. (2010). Assessing the affective features of psychopathy in adolescence: A further validation of the Inventory of Callous and Unemotional Traits. Assessment, 17 , 44-57. [PhenX: https://www.phenxtoolkit.org/protocols/view/121602]",phenx,en,0,no,1,0,0,Auto-converted from PhenX
PX121603,Lack of Prosocial Emotions - Children - Preschool Teacher-report Version,PX121603,Mental Health,24,PhenX Toolkit freely available protocol,https://www.phenxtoolkit.org/protocols/view/121603,"American Psychiatric Association (APA). (2000). Diagnostic and statistical manual of mental disorders (4th ed., text rev.). Washington, DC: Author. Ciucci, E., Baroncelli, A., Franchi, M., Golmaryami, F. N., & Frick, P. J. (2014). The association between callous-unemotional traits and behavioral and academic adjustment in children: Further validation of the Inventory of Callous-Unemotional Traits . Journal of Psychopathology and Behavioral Assessment , 36, 189-200. Essau, C. A., Sasagawa, S., & Frick, P. J. (2006). Callous-unemotional traits in a community sample of adolescents . Assessment, 13 , 454-469. Kimonis, E. R., Frick, P. J., Skeem, J., Marsee, M. A., Cruise, K., Munoz, L. C., Aucoin, K. J., & Morris, A. S. (2008). Assessing callous-unemotional traits in adolescent offenders: Validation of the Inventory of Callous-Unemotional Traits. Journal of the International Association of Psychiatry and Law, 31 , 241-251. Roose, A., Bijttbier, P., Decoene, S., Claes, L., & Frick, P. J. (2010). Assessing the affective features of psychopathy in adolescence: A further validation of the Inventory of Callous and Unemotional Traits. Assessment, 17 , 44-57. [PhenX: https://www.phenxtoolkit.org/protocols/view/121603]",phenx,en,0,no,1,0,0,Auto-converted from PhenX
PX121604,Lack of Prosocial Emotions - Children - Self-report Version,PX121604,Mental Health,24,PhenX Toolkit freely available protocol,https://www.phenxtoolkit.org/protocols/view/121604,"American Psychiatric Association (APA). (2000). Diagnostic and statistical manual of mental disorders (4th ed., text rev.). Washington, DC: Author. Ciucci, E., Baroncelli, A., Franchi, M., Golmaryami, F. N., & Frick, P. J. (2014). The association between callous-unemotional traits and behavioral and academic adjustment in children: Further validation of the Inventory of Callous-Unemotional Traits . Journal of Psychopathology and Behavioral Assessment , 36, 189-200. Essau, C. A., Sasagawa, S., & Frick, P. J. (2006). Callous-unemotional traits in a community sample of adolescents . Assessment, 13 , 454-469. Kimonis, E. R., Frick, P. J., Skeem, J., Marsee, M. A., Cruise, K., Munoz, L. C., Aucoin, K. J. & Morris, A. S. (2008). Assessing callous-unemotional traits in adolescent offenders: Validation of the Inventory of Callous-Unemotional Traits. Journal of the International Association of Psychiatry and Law, 31 , 241-251. Roose, A., Bijttbier, P., Decoene, S., Claes, L., & Frick, P. J. (2010). Assessing the affective features of psychopathy in adolescence: A further validation of the Inventory of Callous and Unemotional Traits. Assessment, 17 , 44-57. [PhenX: https://www.phenxtoolkit.org/protocols/view/121604]",phenx,en,0,no,1,0,0,Auto-converted from PhenX
PX121605,Lack of Prosocial Emotions - Children - Teacher-report Version,PX121605,Mental Health,24,PhenX Toolkit freely available protocol,https://www.phenxtoolkit.org/protocols/view/121605,"American Psychiatric Association (APA). (2000). Diagnostic and statistical manual of mental disorders (4th ed., text rev.). Washington, DC: Author. Ciucci, E., Baroncelli, A., Franchi, M., Golmaryami, F. N., & Frick, P. J. (2014). The association between callous-unemotional traits and behavioral and academic adjustment in children: Further validation of the Inventory of Callous-Unemotional Traits . Journal of Psychopathology and Behavioral Assessment , 36, 189-200. Essau, C. A., Sasagawa, S., & Frick, P. J. (2006). Callous-unemotional traits in a community sample of adolescents . Assessment, 13 , 454-469. Kimonis, E. R., Frick, P. J., Skeem, J., Marsee, M. A., Cruise, K., Munoz, L. C., Aucoin, K. J., & Morris, A. S. (2008). Assessing callous-unemotional traits in adolescent offenders: Validation of the Inventory of Callous-Unemotional Traits. Journal of the International Association of Psychiatry and Law, 31 , 241-251. Roose, A., Bijttbier, P., Decoene, S., Claes, L., & Frick, P. J. (2010). Assessing the affective features of psychopathy in adolescence: A further validation of the Inventory of Callous and Unemotional Traits. Assessment, 17 , 44-57. [PhenX: https://www.phenxtoolkit.org/protocols/view/121605]",phenx,en,0,no,1,0,0,Auto-converted from PhenX
PX121701,Depressive Symptoms - Adult,PX121701,Mental Health,16,PhenX Toolkit freely available protocol,https://www.phenxtoolkit.org/protocols/view/121701,"Trivedi, M. H., Rush, A. J., Crismon, M. L., Kashner, T. M., Toprac, M. G., Carmody, T. J., Key, T., Biggs, M. M., Shores-Wilson, K., Whitte, B., Suppes, T., Miller, A. L., Altshuler, K. Z., & Shon, S. P. (2004). Clinical results for the patient with major depressive disorder in the Texas Medication Algorithm Project. Archives of General Psychiatry, 61, 669-679. [PhenX: https://www.phenxtoolkit.org/protocols/view/121701]",phenx,en,0,no,1,0,0,Auto-converted from PhenX
PX121702,Depressive Symptoms - Child,PX121702,Mental Health,13,PhenX Toolkit freely available protocol,https://www.phenxtoolkit.org/protocols/view/121702,"Jeffreys, M., Rozenman, M., Gonzalez, A., Warnick, E. M., Dauser, C., Scahill, L., Woolston, J., & Robin Weersing, V. (2016). Factor structure of the parent-report Mood and Feelings Questionnaire (MFQ) in an outpatient mental health sample. Journal of Abnormal Child Psychology, 44 (6), 1111-1120. Messer, S. C., Angold, A., Costello, E. J., Loeber, R., Van Kammen, W., & Stouthamer-Loeber, M. (1995). Development of a short questionnaire for use in epidemiological studies of depression in children and adolescents: Factor composition and structure across development. International Journal of Methods in Psychiatric Research, 5 , 251-262. [PhenX: https://www.phenxtoolkit.org/protocols/view/121702]",phenx,en,0,no,1,0,0,Auto-converted from PhenX
PX121801,Anxiety Disorders Symptoms - Children - Parent Report,PX121801,Mental Health,82,PhenX Toolkit freely available protocol,https://www.phenxtoolkit.org/protocols/view/121801,"American Psychiatric Association (APA). (2000). Diagnostic and statistical manual of mental disorders (4th ed., text rev.). Washington, DC: Author. Monga, S., Birmaher, B., Chiappetta, L., Brent, D., Kaufman, J., Bridge, J., Cully, M. (2000). Screen for Child Anxiety-Related Emotional Disorders (SCARED): Convergent and divergent validity. Depression and Anxiety, 12 (2), 85-91. Okado, Y., Tillery, R., Sharp, K. H., Long, A. M., & Phipps, S. (2016). Effects of time since diagnosis on the association between parent and child distress in families with pediatric cancer. Children’s Health Care: Journal of the Association for the Care of Children’s Health, 45 (3), 303-322. [PhenX: https://www.phenxtoolkit.org/protocols/view/121801]",phenx,en,0,no,1,0,0,Auto-converted from PhenX
PX121802,Anxiety Disorders Symptoms - Children - Self-Report,PX121802,Mental Health,41,PhenX Toolkit freely available protocol,https://www.phenxtoolkit.org/protocols/view/121802,"American Psychiatric Association (APA). (2000). Diagnostic and statistical manual of mental disorders (4 th ed., text rev.). Washington, DC: Author. Costello, E. J., Angold, A., Burns, B. J., Stangl, D. K., Tweed, D. L., Erkanli, A., & Worthman, C. M. (1996). The Great Smoky Mountains Study of Youth. Goals, design, methods, and the prevalence of DSM-III-R disorders. Archives of General Psychiatry, 53 , 1129-1136. Kessler, R. C., Chiu, W. T., Demler, O., & Walters, E. E. (2005). Prevalence, severity, and comorbidity of twelve-month DSM-IV disorders in the National Comorbidity Survey Replication (NCS-R). Archives of General Psychiatry , 62 (6), 617-627. Monga, S., Birmaher, B., Chiappetta, L., Brent, D., Kaufman, J., Bridge, J., & Cully, M. (2000). Screen for Child Anxiety-Related Emotional Disorders (SCARED): Convergent and divergent validity. Depression and Anxiety, 12 (2), 85-91. Okado, Y., Tillery, R., Sharp, K. H., Long, A. M., & Phipps, S. (2016). Effects of time since diagnosis on the association between parent and child distress in families with pediatric cancer. Children’s Health Care: Journal of the Association for the Care of Children’s Health, 45 (3), 303-322. [PhenX: https://www.phenxtoolkit.org/protocols/view/121802]",phenx,en,0,no,1,0,0,Auto-converted from PhenX
